TestSet : 3
Test Record :   R:1  | Min Value: 5.00 | Rule : R: 5  | Match: true  | D: 0  
Test Record :   R:2  | Min Value: 4.00 | Rule : R: 1  | Match: false | D: 0  
Test Record :   R:3  | Min Value: 4.00 | Rule : R:18  | Match: true  | D: 0  
Test Record :   R:4  | Min Value: 6.00 | Rule : R: 1  | Match: false | D: 0  
Test Record :   R:5  | Min Value: 3.00 | Rule : R:11  | Match: true  | D: 0  
Test Record :   R:6  | Min Value: 8.00 | Rule : R: 8  | Match: true  | D: 1  
Test Record :   R:7  | Min Value: 2.00 | Rule : R:12  | Match: true  | D: 0  
Test Record :   R:8  | Min Value: 4.00 | Rule : R: 1  | Match: false | D: 0  
Test Record :   R:9  | Min Value: 4.00 | Rule : R:18  | Match: true  | D: 0  
Test Record : R:10	  | Min Value: 4.00 | Rule : R:15  | Match: true  | D: 0  
Test Record : R:11	  | Min Value: 4.00 | Rule : R:17  | Match: true  | D: 1  
Test Record : R:12	  | Min Value: 3.00 | Rule : R:12  | Match: true  | D: 0  
Test Record : R:13	  | Min Value: 2.00 | Rule : R:11  | Match: true  | D: 0  
Test Record : R:14	  | Min Value: 4.00 | Rule : R:20  | Match: true  | D: 0  
Test Record : R:15	  | Min Value: 6.00 | Rule : R: 8  | Match: false | D: 0  
Test Record : R:16	  | Min Value: 5.00 | Rule : R:16  | Match: true  | D: 0  
Test Record : R:17	  | Min Value: 3.00 | Rule : R:16  | Match: true  | D: 0  
Test Record : R:18	  | Min Value: 4.00 | Rule : R: 1  | Match: true  | D: 1  
Test Record : R:19	  | Min Value: 4.00 | Rule : R: 5  | Match: false | D: 1  
Test Record : R:20	  | Min Value: 3.00 | Rule : R:11  | Match: false | D: 1  
Test Record : R:21	  | Min Value: 4.00 | Rule : R:18  | Match: true  | D: 0  
Test Record : R:22	  | Min Value: 2.00 | Rule : R:17  | Match: true  | D: 1  
Test Record : R:23	  | Min Value: 2.00 | Rule : R:17  | Match: true  | D: 1  
Test Record : R:24	  | Min Value: 5.00 | Rule : R:10  | Match: false | D: 0  
Test Record : R:25	  | Min Value: 5.00 | Rule : R:16  | Match: true  | D: 0  
Test Record : R:26	  | Min Value: 4.00 | Rule : R:13  | Match: false | D: 0  
Test Record : R:27	  | Min Value: 4.00 | Rule : R:18  | Match: true  | D: 0  
Test Record : R:28	  | Min Value: 2.00 | Rule : R: 7  | Match: true  | D: 0  
Test Record : R:29	  | Min Value: 3.00 | Rule : R: 6  | Match: true  | D: 1  
Test Record : R:30	  | Min Value: 5.00 | Rule : R: 1  | Match: false | D: 0  
Test Record : R:31	  | Min Value: 6.00 | Rule : R:20  | Match: true  | D: 0  
Test Record : R:32	  | Min Value: 2.00 | Rule : R:18  | Match: true  | D: 0  
Test Record : R:33	  | Min Value: 5.00 | Rule : R:14  | Match: true  | D: 0  
Test Record : R:34	  | Min Value: 3.00 | Rule : R:18  | Match: true  | D: 0  
Test Record : R:35	  | Min Value: 4.00 | Rule : R: 1  | Match: true  | D: 1  
Test Record : R:36	  | Min Value: 3.00 | Rule : R:16  | Match: true  | D: 0  
Test Record : R:37	  | Min Value: 5.00 | Rule : R: 6  | Match: false | D: 0  
Test Record : R:38	  | Min Value: 6.00 | Rule : R:18  | Match: true  | D: 0  
Test Record : R:39	  | Min Value: 4.00 | Rule : R:17  | Match: false | D: 0  
Test Record : R:40	  | Min Value: 5.00 | Rule : R: 8  | Match: true  | D: 1  
Test Record : R:41	  | Min Value: 4.00 | Rule : R:18  | Match: true  | D: 0  
Test Record : R:42	  | Min Value: 5.00 | Rule : R:17  | Match: false | D: 0  

Overall Match percentage:  0.71|  # Matched 30|  # Not Matched 12|  Total : 42
